127.0.0.1 - - [10/Apr/2015:18:32:52 +0300] "GET /assets/js/jquery.fancybox-1.3.4.pack.js HTTP/1.1" 200 5953
127.0.0.1 - - [10/Apr/2015:18:32:52 +0300] "GET /assets/js/jquery.validate.min.js HTTP/1.1" 200 6877
127.0.0.1 - - [10/Apr/2015:18:32:52 +0300] "GET /assets/js/jquery.cookie.js HTTP/1.1" 200 1715
127.0.0.1 - - [10/Apr/2015:18:32:52 +0300] "GET /assets/js/main.js HTTP/1.1" 200 3580
127.0.0.1 - - [10/Apr/2015:18:32:52 +0300] "GET /assets/images/2/21.jpg HTTP/1.1" 304 181
127.0.0.1 - - [10/Apr/2015:18:32:52 +0300] "GET /assets/images/3/31.jpg HTTP/1.1" 304 181
127.0.0.1 - - [10/Apr/2015:18:32:52 +0300] "GET /assets/images/5/51 HTTP/1.1" 200 66675
127.0.0.1 - - [10/Apr/2015:18:32:52 +0300] "GET /assets/js/jquery-ui-1.9.2.custom.min.js HTTP/1.1" 200 62875
127.0.0.1 - - [10/Apr/2015:18:32:52 +0300] "GET /assets/templates/alantur/css/jquery.jscrollpane.css HTTP/1.1" 200 1008
127.0.0.1 - - [10/Apr/2015:18:32:53 +0300] "GET /assets/templates/alantur/images/fancybox/fancybox-y.png HTTP/1.1" 404 546
127.0.0.1 - - [10/Apr/2015:18:32:53 +0300] "GET /assets/templates/alantur/images/fancybox/fancybox.png HTTP/1.1" 404 544
127.0.0.1 - - [10/Apr/2015:18:32:53 +0300] "GET /assets/templates/alantur/images/fancybox/fancybox-x.png HTTP/1.1" 404 546
127.0.0.1 - - [10/Apr/2015:18:32:53 +0300] "GET /assets/templates/alantur/images/fancy_close.png HTTP/1.1" 404 538
127.0.0.1 - - [10/Apr/2015:18:32:53 +0300] "GET /assets/templates/alantur/images/fancybox/blank.gif HTTP/1.1" 404 541
127.0.0.1 - - [10/Apr/2015:18:32:53 +0300] "GET /assets/templates/alantur/images/fancy_nav_left.png HTTP/1.1" 404 541
127.0.0.1 - - [10/Apr/2015:18:32:53 +0300] "GET /assets/templates/alantur/images/fancy_nav_right.png HTTP/1.1" 404 542
127.0.0.1 - - [10/Apr/2015:18:32:54 +0300] "GET /tours HTTP/1.1" 200 1934
127.0.0.1 - - [10/Apr/2015:18:32:55 +0300] "GET /userpage HTTP/1.1" 200 1788
127.0.0.1 - - [10/Apr/2015:18:32:57 +0300] "GET /tours HTTP/1.1" 200 1934
127.0.0.1 - - [10/Apr/2015:18:32:58 +0300] "GET /index HTTP/1.1" 404 496
127.0.0.1 - - [10/Apr/2015:18:33:04 +0300] "GET / HTTP/1.1" 200 1739
127.0.0.1 - - [10/Apr/2015:18:33:12 +0300] "GET /manager/ HTTP/1.1" 200 3165
127.0.0.1 - - [10/Apr/2015:18:33:12 +0300] "GET /manager/media/style/MODxRE/images/misc/login-logo.png HTTP/1.1" 200 8117
127.0.0.1 - - [10/Apr/2015:18:33:12 +0300] "GET /manager/media/script/mootools/mootools.js HTTP/1.1" 200 19171
127.0.0.1 - - [10/Apr/2015:18:33:12 +0300] "GET /manager/media/style/MODxRE/images/body.jpg HTTP/1.1" 200 23996
127.0.0.1 - - [10/Apr/2015:18:33:12 +0300] "GET /manager/media/style/MODxRE/images/misc/enter.png HTTP/1.1" 200 1521
127.0.0.1 - - [10/Apr/2015:18:33:14 +0300] "POST /manager/processors/login.processor.php HTTP/1.1" 200 552
127.0.0.1 - - [10/Apr/2015:18:33:14 +0300] "GET /manager/ HTTP/1.1" 200 1038
127.0.0.1 - - [10/Apr/2015:18:33:14 +0300] "GET /manager/index.php?a=1&f=menu HTTP/1.1" 200 4087
127.0.0.1 - - [10/Apr/2015:18:33:14 +0300] "GET /manager/index.php?a=1&f=tree HTTP/1.1" 200 6254
127.0.0.1 - - [10/Apr/2015:18:33:14 +0300] "GET /manager/media/script/mootools/moodx.js HTTP/1.1" 200 3173
127.0.0.1 - - [10/Apr/2015:18:33:15 +0300] "GET /manager/media/script/session.js HTTP/1.1" 200 694
127.0.0.1 - - [10/Apr/2015:18:33:14 +0300] "GET /manager/media/style/MODxRE/style.css HTTP/1.1" 200 8640
127.0.0.1 - - [10/Apr/2015:18:33:15 +0300] "GET /manager/media/style/MODxRE/images/icons/email.png HTTP/1.1" 200 926
127.0.0.1 - - [10/Apr/2015:18:33:15 +0300] "GET /manager/media/style/MODxRE/images/icons/arrow_down.png HTTP/1.1" 200 664
127.0.0.1 - - [10/Apr/2015:18:33:15 +0300] "GET /manager/media/style/MODxRE/images/icons/folder_page_add.png HTTP/1.1" 200 1031
127.0.0.1 - - [10/Apr/2015:18:33:15 +0300] "GET /manager/media/style/MODxRE/images/icons/arrow_up.png HTTP/1.1" 200 656
127.0.0.1 - - [10/Apr/2015:18:33:15 +0300] "GET /manager/media/style/MODxRE/images/icons/link_add.png HTTP/1.1" 200 854
127.0.0.1 - - [10/Apr/2015:18:33:15 +0300] "GET /manager/media/style/MODxRE/images/icons/refresh.png HTTP/1.1" 200 969
127.0.0.1 - - [10/Apr/2015:18:33:15 +0300] "GET /manager/media/style/MODxRE/images/icons/sort.png HTTP/1.1" 200 967
